"virus";"material";"temperature";"humidity";"replicate";"time";"titer"
"SARS-CoV-2";"Copper";"21-23";"40";"1";"24";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"2";"24";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"3";"24";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"1";"48";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"2";"48";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"3";"48";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"1";"72";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"2";"72";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"3";"72";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"1";"96";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"2";"96";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"3";"96";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"1";"120";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"2";"120";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"3";"120";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"1";"144";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"2";"144";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"3";"144";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"1";"168";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"2";"168";"31.622776601683803"
"SARS-CoV-2";"Copper";"21-23";"40";"3";"168";"31.622776601683803"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"0";"316.22776601683825"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"0";"177.82794100389242"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"0";"1000"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"1";"1778.2794100389244"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"1";"316.22776601683825"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"1";"316.22776601683825"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"4";"177.82794100389242"
"SARS-CoV-2";"Cardboard";"21-23";"40";"2";"4";"100"
"SARS-CoV-2";"Cardboard";"21-23";"40";"3";"4";"100"
"SARS-CoV-2";"Cardboard";"21-23";"40";"1";"8";"31.622776601683803"
